MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
54002.6085098398,0.167150949074074,-0.167150949074074,0.1876777,0.009291466,-0.009291466,00035867001,PC,False,False,FULL
54128.9780482381,0.0038451157407407,-0.0038451157407407,0.2774017,0.03068585,-0.03068585,00035867002,PC,False,False,FULL
54489.4325465124,0.0396205787037037,-0.0396205787037037,0.1279536,0.009045366,-0.009045366,00035867003,PC,False,False,FULL
56174.7577964352,0.0392483101851852,-0.0392483101851852,0.1394404,0.009433678,-0.009433678,00035867004,PC,False,False,FULL
56187.7583950432,0.0067615856481481,-0.0067615856481481,0.1521286,0.01276684,-0.01276684,00080009001,PC,False,False,FULL
56248.5882493284,0.374822199074074,-0.374822199074074,0.137015,0.00387744,-0.00387744,00080009002,PC,False,False,FULL
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.1233924,0.012237,-0.012237,00080009003,PC,False,False,FULL
56251.2868651144,0.138690740740741,-0.138690740740741,0.1479526,0.006422096,-0.006422096,00080009004,PC,False,False,FULL
58039.9275104542,0.0062682523148148,-0.0062682523148148,0.1003241,0.01092994,-0.01092994,00035867005,PC,False,False,FULL
58040.5148532192,0.0057313888888888,-0.0057313888888888,0.1541388,0.01389868,-0.01389868,00035867006,PC,False,False,FULL
58041.8502811799,0.005716875,-0.005716875,0.1126408,0.01238892,-0.01238892,00035867007,PC,False,False,FULL
58046.569694181,0.0057458912037037,-0.0057458912037037,0.1117179,0.01197588,-0.01197588,00035867008,PC,False,False,FULL
58710.4314731602,0.0004643171296296,-0.0004643171296296,0.1706528,0.06250029,-0.05052651,07020871001,PC,True,False,FULL
58711.0860501336,0.0004788194444444,-0.0004788194444444,0.1911004,0.06573583,-0.05366408,07021001002,PC,True,False,FULL
58711.294921916,0.0004643171296296,-0.0004643171296296,0.1541312,0.05852448,-0.04676416,07021258001,PC,True,False,FULL
58713.213767541,0.0032937384259259,-0.0032937384259259,0.1619339,0.03026927,-0.03026927,07021001003,PC,False,False,FULL
58713.5357645086,0.0028294212962963,-0.0028294212962963,0.1386624,0.02077035,-0.02077035,07021258003,PC,False,False,FULL
