MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
54002.6085098398,0.1671509375,-0.1671509375,0.004053,0.001418,00035867001,PC,True,False,HARD
54002.6085098398,0.1671509375,-0.1671509375,0.292171,0.11491,00035867001,PC,True,False,HR
54002.6085098398,0.1671509375,-0.1671509375,0.013872,0.002493,00035867001,PC,True,False,SOFT
54128.9780482265,0.0038451041666666,-0.0038451041666666,1.038458,1.016446,00035867002,PC,True,False,HR
54128.9780482265,0.0038451041666666,-0.0038451041666666,0.004994,0.00339,00035867002,PC,True,False,HARD
54128.9780482265,0.0038451041666666,-0.0038451041666666,0.004809,0.003391,00035867002,PC,True,False,SOFT
54489.4325465124,0.0396205787037037,-0.0396205787037037,0.012695,0.003083,00035867003,PC,False,False,SOFT
54489.4325465124,0.0396205787037037,-0.0396205787037037,2.305242,0.667754,00035867003,PC,False,False,HR
54489.4325465124,0.0396205787037037,-0.0396205787037037,0.029265,0.00462,00035867003,PC,False,False,HARD
56174.7577964352,0.0392482986111111,-0.0392482986111111,0.017471,0.003558,00035867004,PC,False,False,SOFT
56174.7577964352,0.0392482986111111,-0.0392482986111111,0.017611,0.003558,00035867004,PC,False,False,HARD
56174.7577964352,0.0392482986111111,-0.0392482986111111,1.008007,0.289185,00035867004,PC,False,False,HR
56187.7583950548,0.0067615856481481,-0.0067615856481481,0.002918,0.002037,00080009001,PC,False,False,HARD
56187.7583950548,0.0067615856481481,-0.0067615856481481,0.159224,0.118538,00080009001,PC,False,False,HR
56187.7583950548,0.0067615856481481,-0.0067615856481481,0.018324,0.004736,00080009001,PC,False,False,SOFT
56248.7534090738,0.209662465277778,-0.209662465277778,0.010431,0.001172,00080009002,PC,False,False,SOFT
56248.7534090738,0.209662465277778,-0.209662465277778,0.572366,0.106894,00080009002,PC,False,False,HR
56248.7534090738,0.209662465277778,-0.209662465277778,0.00597,0.000891,00080009002,PC,False,False,HARD
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.491041,0.430037,00080009003,PC,False,False,HR
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.005686,0.002851,00080009003,PC,False,False,SOFT
56249.7661441121,0.0066455092592592,-0.0066455092592592,0.002792,0.002005,00080009003,PC,False,False,HARD
56251.2875751259,0.0727061574074074,-0.0727061574074074,1.061409,0.429798,00080009004,PC,False,False,HR
56251.2875751259,0.0727061574074074,-0.0727061574074074,0.009502,0.002639,00080009004,PC,False,False,HARD
56251.2875751259,0.0727061574074074,-0.0727061574074074,0.008952,0.002638,00080009004,PC,False,False,SOFT
58039.9275104542,0.0062682523148148,-0.0062682523148148,0.020359,0.005345,00035867005,PC,False,False,SOFT
58039.9275104542,0.0062682523148148,-0.0062682523148148,0.012566,0.004233,00035867005,PC,False,False,HARD
58039.9275104542,0.0062682523148148,-0.0062682523148148,0.617207,0.263623,00035867005,PC,False,False,HR
58040.5148532308,0.0057313888888888,-0.0057313888888888,0.009553,0.00367,00035867006,PC,False,False,HARD
58040.5148532308,0.0057313888888888,-0.0057313888888888,0.797386,0.410888,00035867006,PC,False,False,HR
58040.5148532308,0.0057313888888888,-0.0057313888888888,0.011981,0.004114,00035867006,PC,False,False,SOFT
58041.8502811915,0.005716875,-0.005716875,0.002635,0.002226,00035867007,PC,False,False,HARD
58041.8502811915,0.005716875,-0.005716875,0.116932,0.103719,00035867007,PC,False,False,HR
58041.8502811915,0.005716875,-0.005716875,0.022534,0.006086,00035867007,PC,False,False,SOFT
58046.5696941926,0.0057458912037037,-0.0057458912037037,0.013252,0.00484,00035867008,PC,False,False,SOFT
58046.5696941926,0.0057458912037037,-0.0057458912037037,0.919095,0.481117,00035867008,PC,False,False,HR
58046.5696941926,0.0057458912037037,-0.0057458912037037,0.01218,0.004568,00035867008,PC,False,False,HARD
58710.4314731602,0.0004643171296296,-0.0004643171296296,0.013267,0.015917,07020871001,PC,True,False,HARD
58710.4314731602,0.0004643171296296,-0.0004643171296296,0.014608,0.016434,07020871001,PC,True,False,SOFT
58710.4314731602,0.0004643171296296,-0.0004643171296296,0.908182,1.493654,07020871001,PC,True,False,HR
58711.294921916,0.0004643171296296,-0.0004643171296296,0.014082,0.016355,07021258001,PC,True,False,SOFT
58711.294921916,0.0004643171296296,-0.0004643171296296,0.03085,0.022765,07021258001,PC,True,False,HARD
58711.294921916,0.0004643171296296,-0.0004643171296296,2.190818,3.014733,07021258001,PC,True,False,HR
58713.5357645202,0.0028294212962963,-0.0028294212962963,0.019506,0.007667,07021258003,PC,True,False,HARD
58713.5357645202,0.0028294212962963,-0.0028294212962963,0.004681,0.004024,07021258003,PC,True,False,SOFT
58713.5357645202,0.0028294212962963,-0.0028294212962963,4.167121,3.939264,07021258003,PC,True,False,HR
