MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53773.367573073,0.0018323726851851,-0.0018323726851851,0.05256096,0.01642711,-0.01363487,00035481001,PC,False,False,FULL
53785.6159369772,0.13819099537037,-0.13819099537037,0.03169517,0.003794485,-0.003794485,00035481002,PC,False,False,FULL
54500.8405260651,0.007516099537037,-0.007516099537037,0.02290057,0.005001561,-0.005001561,00031113001,PC,False,False,FULL
54502.1495154748,0.10674880787037,-0.10674880787037,0.0276338,0.003116288,-0.003116288,00031113002,PC,False,False,FULL
54504.5296112343,0.0050494328703703,-0.0050494328703703,0.01977026,0.006247127,-0.005185257,00031113003,PC,False,False,FULL
54510.0835415266,0.0719682407407407,-0.0719682407407407,0.03002781,0.004362724,-0.004362724,00031113004,PC,False,False,FULL
56444.7504478119,0.0716171412037037,-0.0716171412037037,0.03153191,0.006113525,-0.006113525,00049820001,PC,False,False,FULL
56445.8201884508,0.403969224537037,-0.403969224537037,0.03669116,0.004070747,-0.004070747,00049820002,PC,False,False,FULL
56447.0816540654,0.0056878587962963,-0.0056878587962963,0.03314568,0.00692124,-0.00692124,00049820003,PC,False,False,FULL
57887.6224053894,0.0328648263888889,-0.0328648263888889,0.08216673,0.007413357,-0.007413357,00010130001,PC,False,False,FULL
57887.9228619288,0.0057604050925925,-0.0057604050925925,0.02896125,0.006308059,-0.006308059,00010130002,PC,False,False,FULL
57888.6948880283,0.0373468171296296,-0.0373468171296296,0.1016092,0.008451184,-0.008451184,00010130003,PC,False,False,FULL
57888.8533263964,0.0693895949074074,-0.0693895949074074,0.07581696,0.005129729,-0.005129729,00010130004,PC,False,False,FULL
57889.8856956904,0.0369719097222222,-0.0369719097222222,0.07173216,0.007391645,-0.007391645,00010130005,PC,False,False,FULL
57890.1526557019,0.042231099537037,-0.042231099537037,0.07585505,0.00610191,-0.00610191,00010130006,PC,False,False,FULL
57891.8487182934,0.0086913888888888,-0.0086913888888888,0.03166011,0.00544461,-0.00544461,00010130007,PC,False,False,FULL
57895.7952135457,0.0425109143518519,-0.0425109143518519,0.05105834,0.004238303,-0.004238303,00010130008,PC,False,False,FULL
57897.5558270746,0.0098957060185185,-0.0098957060185185,0.05140015,0.006359972,-0.006359972,00010130010,PC,False,False,FULL
57899.9447943883,0.5299696875,-0.5299696875,0.0798799,0.007999093,-0.007999093,00010130011,PC,False,False,FULL
57902.0789368408,0.0041353009259259,-0.0041353009259259,0.0536523,0.01374004,-0.01374004,00010130012,PC,False,False,FULL
57902.2769818177,0.0075015856481481,-0.0075015856481481,0.03995165,0.006529172,-0.006529172,00010130013,PC,False,False,FULL
57904.0621563767,0.0084447222222222,-0.0084447222222222,0.03649542,0.006495562,-0.006495562,00010130014,PC,False,False,FULL
57906.6168682853,0.0356524537037037,-0.0356524537037037,0.04152239,0.006235905,-0.006235905,00010130015,PC,False,False,FULL
57908.4487590364,0.0086478587962963,-0.0086478587962963,0.04649324,0.006484815,-0.006484815,00010130016,PC,False,False,FULL
57910.2094450654,0.0368314699074074,-0.0368314699074074,0.02948114,0.005169034,-0.005169034,00010130017,PC,False,False,FULL
57912.6936008269,0.0082415856481481,-0.0082415856481481,0.029642,0.005384397,-0.005384397,00010130018,PC,False,False,FULL
57914.2939396927,0.0085898263888888,-0.0085898263888888,0.04738949,0.006472509,-0.006472509,00010130019,PC,False,False,FULL
57916.8894606857,0.0026553009259259,-0.0026553009259259,0.03180305,0.01092869,-0.008927119,00010130020,PC,True,False,FULL
57918.8508186927,0.0364481712962963,-0.0364481712962963,0.01763643,0.004726687,-0.004726687,00010130021,PC,True,False,FULL
57920.8041341661,0.0088219791666666,-0.0088219791666666,0.02682531,0.004848023,-0.004848023,00010130022,PC,False,False,FULL
57949.2113078327,0.0433216087962963,-0.0433216087962963,0.03304595,0.003868418,-0.003868418,00010130023,PC,False,False,FULL
57962.6212815191,0.0381317939814815,-0.0381317939814815,0.03128457,0.003834169,-0.003834169,00010130024,PC,False,False,FULL
57977.9358706313,0.0041498148148148,-0.0041498148148148,0.02375492,0.007463525,-0.006194895,00010130025,PC,False,False,FULL
57981.6502522586,0.0043674652777777,-0.0043674652777777,0.03064127,0.007614508,-0.007614508,00010130026,PC,False,False,FULL
57990.8960955214,0.402271597222222,-0.402271597222222,0.03432744,0.004470184,-0.004470184,00010130027,PC,False,False,FULL
58004.6839915654,0.0393836921296296,-0.0393836921296296,0.03551732,0.005137674,-0.005137674,00010130028,PC,False,False,FULL
58009.4312382714,0.0053106018518518,-0.0053106018518518,0.0158193,0.005519266,-0.004505706,00010130029,PC,True,False,FULL
58209.9474248605,0.0057894212962963,-0.0057894212962963,0.06917385,0.009340747,-0.009340747,00094059001,PC,False,False,FULL
58215.2690943154,0.403573148148148,-0.403573148148148,0.04827748,0.006120612,-0.006120612,00094059002,PC,False,False,FULL
58219.6439647992,0.143953865740741,-0.143953865740741,0.04317384,0.006081063,-0.006081063,00094059003,PC,False,False,FULL
58223.4957091753,0.0095910069444444,-0.0095910069444444,0.03464999,0.0054516,-0.0054516,00094059004,PC,False,False,FULL
58226.2197035098,0.0057313888888888,-0.0057313888888888,0.04678728,0.00826449,-0.00826449,00094059005,PC,False,False,FULL
58229.7322701661,0.0056588425925925,-0.0056588425925925,0.04391484,0.007878113,-0.007878113,00094059006,PC,False,False,FULL
58234.5778825017,0.0058764814814814,-0.0058764814814814,0.04438021,0.007605054,-0.007605054,00094059008,PC,False,False,FULL
58239.9621685758,0.0056298148148148,-0.0056298148148148,0.03333324,0.006771861,-0.006771861,00094059009,PC,False,False,FULL
58254.6523178975,0.0057458912037037,-0.0057458912037037,0.02564934,0.006003578,-0.006003578,00094059011,PC,False,False,FULL
58259.7721978142,0.0060215856481481,-0.0060215856481481,0.04434056,0.01144586,-0.01144586,00094059012,PC,False,False,FULL
58264.2734058235,0.0061957060185185,-0.0061957060185185,0.04674392,0.008499512,-0.008499512,00094059013,PC,False,False,FULL
58269.463087276,0.0054121643518518,-0.0054121643518518,0.04963455,0.008368888,-0.008368888,00094059014,PC,False,False,FULL
58279.0113576209,0.0064423726851851,-0.0064423726851851,0.04213154,0.007041644,-0.007041644,00094059016,PC,False,False,FULL
58284.9201251834,0.0059925578703703,-0.0059925578703703,0.03857523,0.007138613,-0.007138613,00094059017,PC,False,False,FULL
58299.4913612702,0.0021184375,-0.0021184375,0.03533425,0.01285047,-0.01038858,00094059019,PC,False,False,FULL
58304.5334838698,0.004440011574074,-0.004440011574074,0.03411887,0.008502798,-0.008502798,00094059020,PC,False,False,FULL
58309.4444625341,0.0004062731481481,-0.0004062731481481,0.274,0.0,0.0,00094059021,PC,True,True,FULL
58318.7329958964,0.0070227662037037,-0.0070227662037037,0.02965987,0.005743674,-0.005743674,00094059023,PC,False,False,FULL
58319.7244486707,0.0037725578703703,-0.0037725578703703,0.03031713,0.007946889,-0.007946889,00094059024,PC,False,False,FULL
58324.1746565052,0.0056298148148148,-0.0056298148148148,0.04332593,0.008694779,-0.008694779,00094059025,PC,False,False,FULL
58329.3528377957,0.0058474652777777,-0.0058474652777777,0.04699799,0.008315998,-0.008315998,00094059026,PC,False,False,FULL
58334.6049724751,0.006558449074074,-0.006558449074074,0.06378593,0.008944361,-0.008944361,00094059027,PC,False,False,FULL
58349.4934339276,0.0056153125,-0.0056153125,0.06187102,0.009038408,-0.009038408,00094059029,PC,False,False,FULL
58354.6805908536,0.0059345254629629,-0.0059345254629629,0.03323765,0.008279531,-0.008279531,00094059030,PC,False,False,FULL
58364.0334687008,0.0058474652777777,-0.0058474652777777,0.05263372,0.009121476,-0.009121476,00094059032,PC,False,False,FULL
58368.6104247239,0.0059635416666666,-0.0059635416666666,0.04889522,0.007962348,-0.007962348,00094059033,PC,False,False,FULL
