MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
53742.3058204465,0.272614375,-0.272614375,0.1253048,0.004768549,-0.004768549,00035474001,PC,False,False,FULL
55726.9308659674,0.0690322800925926,-0.0690322800925926,0.05425519,0.004862601,-0.004862601,00031987001,PC,False,False,FULL
55727.4323360101,0.309119363425926,-0.309119363425926,0.04559204,0.002577871,-0.002577871,00031987002,PC,False,False,FULL
56151.1063659807,0.103920509259259,-0.103920509259259,0.06186974,0.006298597,-0.006298597,00031987003,PC,False,False,FULL
56597.7905095081,0.761425115740741,-0.761425115740741,0.04647173,0.002391118,-0.002391118,00031987004,PC,False,False,FULL
56645.6645445544,0.276287881944444,-0.276287881944444,0.04179209,0.002099544,-0.002099544,00031987005,PC,False,False,FULL
56693.5219203125,0.436252164351852,-0.436252164351852,0.04205403,0.00358561,-0.00358561,00031987006,PC,False,False,FULL
56694.5544786806,0.403698888888889,-0.403698888888889,0.05395883,0.00403953,-0.00403953,00031987007,PC,False,False,FULL
56718.8245053831,0.0017266666666666,-0.0017266666666666,0.03776719,0.0148892,-0.01189726,00084233001,PC,True,False,FULL
56722.2978624051,0.0012768634259259,-0.0012768634259259,0.1079202,0.02474482,-0.02474482,00084233002,PC,False,False,FULL
56741.5174309711,0.476162974537037,-0.476162974537037,0.04989064,0.002274239,-0.002274239,00031987008,PC,False,False,FULL
56759.7689781481,0.0072549189814814,-0.0072549189814814,0.0449779,0.007167062,-0.007167062,00084233003,PC,False,False,FULL
56789.4846694954,0.439464155092593,-0.439464155092593,0.03722806,0.002450723,-0.002450723,00031987009,PC,False,False,FULL
56792.9167656597,0.0740209953703704,-0.0740209953703704,0.04861993,0.004092396,-0.004092396,00031987010,PC,False,False,FULL
56844.4362009167,0.404597650462963,-0.404597650462963,0.0781049,0.003519525,-0.003519525,00031987011,PC,False,False,FULL
56847.260881537,0.108393032407407,-0.108393032407407,0.08832188,0.005538792,-0.005538792,00031987012,PC,False,False,FULL
56848.5879310231,0.370922222222222,-0.370922222222222,0.06709167,0.006704905,-0.006704905,00031987013,PC,False,False,FULL
56849.0235848426,0.004736099537037,-0.004736099537037,0.07043933,0.01118641,-0.01118641,00035474002,PC,False,False,FULL
56854.8810640185,0.004657662037037,-0.004657662037037,0.1702295,0.01723027,-0.01723027,00035474003,PC,False,False,FULL
56859.6141921667,0.0057749189814814,-0.0057749189814814,0.1581635,0.01432154,-0.01432154,00035474004,PC,False,False,FULL
56864.5427756389,0.0043094212962963,-0.0043094212962963,0.1328364,0.01523259,-0.01523259,00035474005,PC,False,False,FULL
56869.5353061586,0.0055137384259259,-0.0055137384259259,0.1598832,0.01499764,-0.01499764,00035474006,PC,False,False,FULL
56874.0075989722,0.005418125,-0.005418125,0.1268571,0.01370754,-0.01370754,00035474007,PC,False,False,FULL
56879.237111934,0.234931331018519,-0.234931331018519,0.1604049,0.01404983,-0.01404983,00035474008,PC,False,False,FULL
56880.4640274387,0.408038449074074,-0.408038449074074,0.1643001,0.003857314,-0.003857314,00031987014,PC,False,False,FULL
56883.0947744815,0.0354919328703704,-0.0354919328703704,0.1262306,0.01506722,-0.01506722,00035474009,PC,False,False,FULL
56894.9420133275,0.0064423726851851,-0.0064423726851851,0.0615261,0.008786501,-0.008786501,00035474010,PC,False,False,FULL
56899.8683981169,0.0064423726851851,-0.0064423726851851,0.05056387,0.007916302,-0.007916302,00035474011,PC,False,False,FULL
56904.1302398877,0.0063988425925925,-0.0063988425925925,0.1782338,0.01494507,-0.01494507,00035474012,PC,False,False,FULL
56909.0371149433,0.0349358101851852,-0.0349358101851852,0.1428563,0.0185753,-0.0185753,00035474013,PC,False,False,FULL
56914.9902155394,0.0005803935185185,-0.0005803935185185,0.1306369,0.04720965,-0.03816525,00035474014,PC,True,False,FULL
56919.6777857917,0.034558599537037,-0.034558599537037,0.1655938,0.0144509,-0.0144509,00035474015,PC,False,False,FULL
56924.4772145498,0.368437951388889,-0.368437951388889,0.1967838,0.01832651,-0.01832651,00035474016,PC,False,False,FULL
56929.834356456,0.0057458912037037,-0.0057458912037037,0.09652615,0.01160964,-0.01160964,00035474017,PC,False,False,FULL
56933.5018531331,0.339649212962963,-0.339649212962963,0.1903019,0.005737853,-0.005737853,00031987015,PC,False,False,FULL
56943.3873946192,0.468004178240741,-0.468004178240741,0.1846073,0.005849436,-0.005849436,00031987017,PC,False,False,FULL
56943.9527265984,0.0359933796296296,-0.0359933796296296,0.186368,0.01545247,-0.01545247,00035474019,PC,False,False,FULL
56949.8459185347,0.0053106018518518,-0.0053106018518518,0.1973074,0.01953239,-0.01953239,00035474020,PC,False,False,FULL
56954.9004746065,0.0063117824074074,-0.0063117824074074,0.1581631,0.01375383,-0.01375383,00035474021,PC,False,False,FULL
57670.1934352512,0.0389715625,-0.0389715625,0.05433494,0.006449809,-0.006449809,00031987018,PC,False,False,FULL
57671.1873430301,0.0388314583333333,-0.0388314583333333,0.04683302,0.005669211,-0.005669211,00031987019,PC,False,False,FULL
57672.184740809,0.0379121527777778,-0.0379121527777778,0.04645853,0.005675652,-0.005675652,00031987020,PC,False,False,FULL
57677.2713420069,0.00551375,-0.00551375,0.1983376,0.01849697,-0.01849697,00080321001,PC,False,False,FULL
57677.4600356308,0.005716875,-0.005716875,0.1637785,0.01438253,-0.01438253,00080321002,PC,False,False,FULL
57677.5916301562,0.0046721643518518,-0.0046721643518518,0.2048894,0.01830533,-0.01830533,00080321003,PC,False,False,FULL
