MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
56402.6095878758,0.0020749074074074,-0.0020749074074074,0.03703,0.015409,00080112001,PC,True,False,SOFT
56402.6095878758,0.0020749074074074,-0.0020749074074074,0.498415,0.357912,00080112001,PC,True,False,HR
56402.6095878758,0.0020749074074074,-0.0020749074074074,0.018456,0.010802,00080112001,PC,True,False,HARD
56411.2226656351,0.333448703703704,-0.333448703703704,0.6356,0.153295,00080112002,PC,False,False,HR
56411.2226656351,0.333448703703704,-0.333448703703704,0.033376,0.005029,00080112002,PC,False,False,SOFT
56411.2226656351,0.333448703703704,-0.333448703703704,0.021214,0.003995,00080112002,PC,False,False,HARD
56696.4519436432,0.0722203472222222,-0.0722203472222222,1.00304,0.258081,00033003001,PC,False,False,HR
56696.4519436432,0.0722203472222222,-0.0722203472222222,0.02798,0.005072,00033003001,PC,False,False,HARD
56696.4519436432,0.0722203472222222,-0.0722203472222222,0.027895,0.005094,00033003001,PC,False,False,SOFT
56700.8088805726,0.0416458912037037,-0.0416458912037037,0.044762,0.004525,00033003002,PC,False,False,SOFT
56700.8088805726,0.0416458912037037,-0.0416458912037037,0.614211,0.100669,00033003002,PC,False,False,HR
56700.8088805726,0.0416458912037037,-0.0416458912037037,0.027493,0.003547,00033003002,PC,False,False,HARD
56704.812086414,0.039888275462963,-0.039888275462963,0.038976,0.004461,00033003003,PC,False,False,SOFT
56704.812086414,0.039888275462963,-0.039888275462963,0.030478,0.003938,00033003003,PC,False,False,HARD
56704.812086414,0.039888275462963,-0.039888275462963,0.781986,0.134968,00033003003,PC,False,False,HR
56708.5867237717,0.140211678240741,-0.140211678240741,0.627312,0.188383,00033003004,PC,False,False,HR
56708.5867237717,0.140211678240741,-0.140211678240741,0.027342,0.006394,00033003004,PC,False,False,HARD
56708.5867237717,0.140211678240741,-0.140211678240741,0.043586,0.008212,00033003004,PC,False,False,SOFT
56713.6980311745,0.0407061805555556,-0.0407061805555556,0.591006,0.110251,00033003005,PC,False,False,HR
56713.6980311745,0.0407061805555556,-0.0407061805555556,0.039709,0.004503,00033003005,PC,False,False,SOFT
56713.6980311745,0.0407061805555556,-0.0407061805555556,0.023468,0.003476,00033003005,PC,False,False,HARD
56744.3249943816,0.0088800231481481,-0.0088800231481481,0.031216,0.005073,00033003006,PC,False,False,HARD
56744.3249943816,0.0088800231481481,-0.0088800231481481,0.049006,0.006348,00033003006,PC,False,False,SOFT
56744.3249943816,0.0088800231481481,-0.0088800231481481,0.636979,0.132375,00033003006,PC,False,False,HR
56748.9554127103,0.0409603587962963,-0.0409603587962963,0.013551,0.002575,00033003007,PC,False,False,HARD
56748.9554127103,0.0409603587962963,-0.0409603587962963,0.430059,0.097177,00033003007,PC,False,False,HR
56748.9554127103,0.0409603587962963,-0.0409603587962963,0.03151,0.003854,00033003007,PC,False,False,SOFT
56752.7252699164,0.075967974537037,-0.075967974537037,0.604685,0.121353,00033003008,PC,False,False,HR
56752.7252699164,0.075967974537037,-0.075967974537037,0.029791,0.003688,00033003008,PC,False,False,SOFT
56752.7252699164,0.075967974537037,-0.075967974537037,0.018014,0.002845,00033003008,PC,False,False,HARD
