MJD,T_+ve,T_-ve,Rate,Ratepos,Rateneg,obsID,MODE,BAD,UL,BAND
57349.7609962732,0.008256099537037,-0.008256099537037,0.01725316,0.004166683,-0.004166683,00084503001,PC,False,False,FULL
57444.5531028357,0.0043239351851851,-0.0043239351851851,0.01248859,0.006139448,-0.004656469,00084503002,PC,True,False,FULL
57559.7973205938,0.0024811805555555,-0.0024811805555555,0.01605586,0.008767127,-0.006469627,00084503004,PC,True,False,FULL
57664.7964355371,0.0054266782407407,-0.0054266782407407,0.014722,0.0,0.0,00084503005,PC,True,True,FULL
57667.7884675776,0.0029745138888888,-0.0029745138888888,0.007821221,0.005859786,-0.003941939,00084503006,PC,True,False,FULL
57670.7381777315,0.0345336805555556,-0.0345336805555556,0.004240255,0.002158509,-0.001637123,00084503007,PC,True,False,FULL
57685.9817942431,0.0040917708333333,-0.0040917708333333,0.01492753,0.006174455,-0.004863032,00084503008,PC,True,False,FULL
57686.0525811875,0.0034388310185185,-0.0034388310185185,0.01322152,0.006559927,-0.004979445,00084503009,PC,True,False,FULL
57700.8843982998,0.0056588425925925,-0.0056588425925925,0.01426344,0.005070436,-0.004141795,00084503010,PC,False,False,FULL
57704.4138110811,0.004019224537037,-0.004019224537037,0.008279885,0.005164192,-0.003673984,00084503011,PC,True,False,FULL
57709.5210109942,0.467654826388889,-0.467654826388889,0.01011264,0.002593968,-0.002593968,00084503012,PC,True,False,FULL
57710.7157132975,0.533370451388889,-0.533370451388889,0.004337119,0.002206645,-0.001674998,00084503013,PC,True,False,FULL
57713.3119028264,0.668421458333333,-0.668421458333333,0.0095275,0.0,0.0,00084503014,PC,True,True,FULL
57714.5063643426,0.463547569444444,-0.463547569444444,0.012192,0.0,0.0,00084503015,PC,True,True,FULL
57716.4311848554,0.340108576388889,-0.340108576388889,0.005441818,0.001930917,-0.001576323,00084503016,PC,True,False,FULL
57719.8836826239,0.004976875,-0.004976875,0.01174599,0.005011478,-0.003947065,00084503017,PC,True,False,FULL
