MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
57349.7609962732,0.008256099537037,-0.008256099537037,0.013007,0.003569,00084503001,PC,False,False,HARD
57349.7609962732,0.008256099537037,-0.008256099537037,0.004244,0.00215,00084503001,PC,False,False,SOFT
57349.7609962732,0.008256099537037,-0.008256099537037,3.064897,1.765698,00084503001,PC,False,False,HR
57444.5531028357,0.0043239351851851,-0.0043239351851851,0.686427,0.541367,00084503002,PC,True,False,HR
57444.5531028357,0.0043239351851851,-0.0043239351851851,0.005991,0.003567,00084503002,PC,True,False,HARD
57444.5531028357,0.0043239351851851,-0.0043239351851851,0.008728,0.004513,00084503002,PC,True,False,SOFT
57559.7973205938,0.0024811805555555,-0.0024811805555555,0.003006,0.0033,00084503004,PC,True,False,SOFT
57559.7973205938,0.0024811805555555,-0.0024811805555555,0.013026,0.006676,00084503004,PC,True,False,HARD
57559.7973205938,0.0024811805555555,-0.0024811805555555,4.333881,5.251182,00084503004,PC,True,False,HR
57664.7964355371,0.0054266782407407,-0.0054266782407407,0.002786,0.002139,00084503005,PC,True,False,SOFT
57664.7964355371,0.0054266782407407,-0.0054266782407407,-0.079218,-0.06264,00084503005,PC,True,False,HR
57664.7964355371,0.0054266782407407,-0.0054266782407407,-0.000221,4.2e-05,00084503005,PC,True,False,HARD
57667.7884675776,0.0029745138888888,-0.0029745138888888,2.032969,2.623563,00084503006,PC,True,False,HR
57667.7884675776,0.0029745138888888,-0.0029745138888888,0.002574,0.002729,00084503006,PC,True,False,SOFT
57667.7884675776,0.0029745138888888,-0.0029745138888888,0.005233,0.00385,00084503006,PC,True,False,HARD
57670.7381777315,0.0345336805555556,-0.0345336805555556,1.026255,0.90131,00084503007,PC,True,False,HR
57670.7381777315,0.0345336805555556,-0.0345336805555556,0.002093,0.001299,00084503007,PC,True,False,SOFT
57670.7381777315,0.0345336805555556,-0.0345336805555556,0.002148,0.001334,00084503007,PC,True,False,HARD
57685.9817942431,0.0040917708333333,-0.0040917708333333,0.005482,0.003325,00084503008,PC,True,False,SOFT
57685.9817942431,0.0040917708333333,-0.0040917708333333,1.722945,1.307132,00084503008,PC,True,False,HR
57685.9817942431,0.0040917708333333,-0.0040917708333333,0.009446,0.004305,00084503008,PC,True,False,HARD
57686.0525811875,0.0034388310185185,-0.0034388310185185,0.011287,0.005167,00084503009,PC,True,False,HARD
57686.0525811875,0.0034388310185185,-0.0034388310185185,5.838308,7.480345,00084503009,PC,True,False,HR
57686.0525811875,0.0034388310185185,-0.0034388310185185,0.001933,0.002314,00084503009,PC,True,False,SOFT
57700.8843982998,0.0056588425925925,-0.0056588425925925,0.006426,0.003072,00084503010,PC,False,False,SOFT
57700.8843982998,0.0056588425925925,-0.0056588425925925,0.007837,0.003366,00084503010,PC,False,False,HARD
57700.8843982998,0.0056588425925925,-0.0056588425925925,1.21948,0.783718,00084503010,PC,False,False,HR
57704.4138110811,0.004019224537037,-0.004019224537037,0.004124,0.003009,00084503011,PC,True,False,SOFT
57704.4138110811,0.004019224537037,-0.004019224537037,0.004155,0.003065,00084503011,PC,True,False,HARD
57704.4138110811,0.004019224537037,-0.004019224537037,1.007595,1.045487,00084503011,PC,True,False,HR
57709.5210109942,0.467654826388889,-0.467654826388889,0.541098,0.290431,00084503012,PC,True,False,HR
57709.5210109942,0.467654826388889,-0.467654826388889,0.006561,0.002093,00084503012,PC,True,False,SOFT
57709.5210109942,0.467654826388889,-0.467654826388889,0.00355,0.001532,00084503012,PC,True,False,HARD
57710.7157132975,0.533370451388889,-0.533370451388889,0.003743,0.001756,00084503013,PC,True,False,SOFT
57710.7157132975,0.533370451388889,-0.533370451388889,0.0006,0.000737,00084503013,PC,True,False,HARD
57710.7157132975,0.533370451388889,-0.533370451388889,0.160237,0.210708,00084503013,PC,True,False,HR
57713.3119028264,0.668421458333333,-0.668421458333333,0.002357,0.001432,00084503014,PC,True,False,SOFT
57713.3119028264,0.668421458333333,-0.668421458333333,-9.2e-05,1.5e-05,00084503014,PC,True,False,HARD
57713.3119028264,0.668421458333333,-0.668421458333333,-0.038899,-0.024475,00084503014,PC,True,False,HR
57714.5063643426,0.463547569444444,-0.463547569444444,1.041181,1.627074,00084503015,PC,True,False,HR
57714.5063643426,0.463547569444444,-0.463547569444444,0.001144,0.001237,00084503015,PC,True,False,HARD
57714.5063643426,0.463547569444444,-0.463547569444444,0.001099,0.001239,00084503015,PC,True,False,SOFT
57716.4311848554,0.340108576388889,-0.340108576388889,0.828363,0.530986,00084503016,PC,True,False,HR
57716.4311848554,0.340108576388889,-0.340108576388889,0.002465,0.001172,00084503016,PC,True,False,HARD
57716.4311848554,0.340108576388889,-0.340108576388889,0.002975,0.001279,00084503016,PC,True,False,SOFT
57719.8836826239,0.004976875,-0.004976875,0.007514,0.003491,00084503017,PC,True,False,HARD
57719.8836826239,0.004976875,-0.004976875,1.774938,1.401966,00084503017,PC,True,False,HR
57719.8836826239,0.004976875,-0.004976875,0.004233,0.002704,00084503017,PC,True,False,SOFT
