readable_name,B_n_obs,B_n_det_3_sig,B_rate_mean,B_rate_std,U_n_obs,U_n_det_3_sig,U_rate_mean,U_rate_std,UVM2_n_obs,UVM2_n_det_3_sig,UVM2_rate_mean,UVM2_rate_std,UVW1_n_obs,UVW1_n_det_3_sig,UVW1_rate_mean,UVW1_rate_std,UVW2_n_obs,UVW2_n_det_3_sig,UVW2_rate_mean,UVW2_rate_std,V_n_obs,V_n_det_3_sig,V_rate_mean,V_rate_std,WHITE_n_obs,WHITE_n_det_3_sig,WHITE_rate_mean,WHITE_rate_std
V404Cyg,22.0,22.0,32.361209869384766,54.060543060302734,79.0,52.0,11.03132438659668,32.36320114135742,16.0,3.0,0.05695733055472374,0.1398036777973175,63.0,8.0,0.035012733191251755,0.177903413772583,7.0,0.0,0.008613997139036655,0.010943911038339138,23.0,24.0,31.132497787475586,52.39999008178711,3.0,3.0,11.443835258483887,3.001585006713867
Swift J0243.6+6124,31.0,31.0,112.67217254638672,7.428699493408203,27.0,27.0,78.89154815673828,6.884929656982422,38.0,38.0,1.9401447772979736,0.1665412038564682,13.0,13.0,12.89710521697998,0.6897464394569397,19.0,19.0,4.186244964599609,0.4912176728248596,31.0,36.0,88.14163208007812,4.858160972595215,1.0,1.0,310.09893798828125,0.0
SS433,7.0,7.0,14.362226486206055,2.539846181869507,5.0,5.0,1.916296362876892,0.6708693504333496,4.0,0.0,-0.001671311678364873,0.0017952511552721262,7.0,7.0,0.2537597715854645,0.08002983778715134,4.0,4.0,0.07883720099925995,0.013811755925416946,1.0,1.0,14.654023170471191,0.0,,,,
SMC X-3,3.0,1.0,7.749118328094482,10.958908081054688,12.0,8.0,48.590667724609375,34.44434356689453,11.0,10.0,27.596010208129883,8.861449241638184,6.0,5.0,31.10139274597168,17.580549240112305,2.0,2.0,44.31343078613281,1.0237770080566406,2.0,2.0,6.958764553070068,6.958764553070068,,,,
IC10 X-1,,,,,119.0,117.0,0.3567429780960083,0.060840848833322525,5.0,0.0,0.007220020052045584,0.0010270718485116959,3.0,3.0,0.09373887628316879,0.007741519249975681,3.0,3.0,0.02021957002580166,0.0035946539137512445,,,,,,,,
M31 ULX-1,3.0,2.0,2.7639267444610596,1.9704807996749878,36.0,31.0,1.858824372291565,0.8977918028831482,84.0,28.0,0.03418653458356857,0.02379455231130123,373.0,354.0,0.31910762190818787,0.08107738196849823,76.0,65.0,0.10479972511529922,0.08699173480272293,3.0,2.0,2.865084648132324,2.0413670539855957,,,,
M33 ULX-1,,,,,4.0,4.0,36.61705017089844,10.01401138305664,3.0,2.0,4.254834175109863,3.0146946907043457,5.0,5.0,13.008313179016113,0.26061388850212097,2.0,2.0,10.844345092773438,0.18724775314331055,,,,,,,,
NGC300 ULX-1,48.0,48.0,5.749469757080078,2.913689374923706,18.0,18.0,2.3257787227630615,0.5182186365127563,21.0,21.0,0.2723805010318756,0.03957824409008026,28.0,28.0,0.6337376832962036,0.13494405150413513,32.0,32.0,0.415266752243042,0.06976217031478882,43.0,49.0,2.842843532562256,1.3669534921646118,,,,
NGC55 ULX,3.0,3.0,2.9954164028167725,0.7101792693138123,20.0,20.0,2.1056652069091797,0.4344918131828308,29.0,28.0,0.29141587018966675,0.07940862327814102,36.0,36.0,0.5951981544494629,0.06579035520553589,15.0,15.0,0.4855418801307678,0.053163062781095505,3.0,3.0,1.997566819190979,0.5343478322029114,,,,
IC342 ULX-1,1.0,1.0,0.8680902719497681,0.0,11.0,9.0,0.36117252707481384,0.2991364300251007,12.0,1.0,0.01435687392950058,0.017330870032310486,10.0,8.0,0.09500392526388168,0.062236540019512177,13.0,5.0,0.016739806160330772,0.016837293282151222,1.0,1.0,0.6345440149307251,0.0,,,,
IC342 ULX-2,1.0,0.0,0.22016936540603638,0.0,9.0,3.0,-0.0990399643778801,0.8700460195541382,12.0,0.0,-0.007956302724778652,0.02613142691552639,10.0,3.0,0.013428586535155773,0.0821724608540535,13.0,0.0,-0.023431874811649323,0.035465486347675323,1.0,0.0,0.007864624261856079,0.0,,,,
Holmberg II X-1,3.0,3.0,3.65841007232666,0.2016020566225052,98.0,98.0,4.620734214782715,0.24642586708068848,31.0,31.0,2.0141425132751465,0.1879115104675293,52.0,52.0,3.041287422180176,0.37515342235565186,46.0,46.0,3.7369344234466553,0.47851434350013733,3.0,3.0,1.0122714042663574,0.09562075138092041,,,,
NGC4945 XMM-1,3.0,3.0,4.572279453277588,0.09950127452611923,3.0,3.0,1.9286127090454102,0.0961887463927269,39.0,38.0,0.10614975541830063,0.029431866481900215,22.0,21.0,0.34306710958480835,0.1649441421031952,36.0,34.0,0.16088040173053741,0.08047659695148468,3.0,3.0,3.4859354496002197,0.15609011054039001,,,,
M81 X-6,86.0,84.0,1.8206892013549805,0.5673134922981262,43.0,36.0,0.8552775979042053,0.4050145149230957,52.0,40.0,0.11975839734077454,0.07050033658742905,132.0,127.0,0.33880504965782166,0.0886678472161293,314.0,300.0,0.26245567202568054,0.05641775578260422,85.0,77.0,1.114806890487671,0.35308143496513367,,,,
M82 X-2,41.0,41.0,28.888168334960938,1.4704166650772095,81.0,81.0,11.669234275817871,0.3056967556476593,108.0,108.0,0.3508388102054596,0.02562061883509159,100.0,100.0,2.0154645442962646,0.07750304788351059,98.0,98.0,0.7771136164665222,0.042154811322689056,41.0,41.0,27.745563507080078,1.3417929410934448,,,,
NGC253 X-2,7.0,7.0,22.689302444458008,0.6472218632698059,6.0,4.0,4.229984283447266,3.005256414413452,1.0,1.0,0.10262532532215118,0.0,2.0,2.0,0.9795204401016235,0.08257642388343811,1.0,1.0,0.3188096284866333,0.0,7.0,7.0,19.622854232788086,1.073550820350647,,,,
NGC253 X-9,7.0,7.0,6.355495452880859,0.1564875692129135,6.0,4.0,1.9206284284591675,1.3606688976287842,1.0,1.0,0.3048925995826721,0.0,2.0,2.0,0.7510558366775513,0.048507899045944214,1.0,1.0,0.4885793924331665,0.0,7.0,7.0,4.002549171447754,0.36019366979599,,,,
NGC247 ULX-1,1.0,1.0,2.694303512573242,0.0,21.0,20.0,2.166814088821411,0.11272621154785156,69.0,69.0,0.6673301458358765,0.057478055357933044,53.0,53.0,1.003623366355896,0.05721264332532883,25.0,25.0,0.9516150951385498,0.08861704915761948,1.0,1.0,1.1624845266342163,0.0,,,,
NGC7793 P13,2.0,2.0,2.0855817794799805,0.19441574811935425,258.0,258.0,1.3074182271957397,0.09374552220106125,25.0,25.0,0.26497864723205566,0.03472710773348808,14.0,14.0,0.4871489703655243,0.059115901589393616,12.0,12.0,0.4104788303375244,0.06865117698907852,2.0,0.0,-0.008548760786652565,0.06891794502735138,,,,
Holmberg IX X-1,24.0,14.0,2.450289726257324,2.7598581314086914,43.0,41.0,0.5632354617118835,0.3825872242450714,53.0,51.0,0.0766141265630722,0.026158642023801804,132.0,129.0,0.20604489743709564,0.11306381970643997,174.0,172.0,0.17492002248764038,0.054587263613939285,,,,,,,,
NGC1313 X-1,5.0,5.0,8.50609016418457,0.3827221393585205,280.0,278.0,5.054193496704102,0.6485887765884399,92.0,92.0,1.0579429864883423,0.050413742661476135,49.0,49.0,1.9657690525054932,0.08499591052532196,58.0,58.0,1.677255392074585,0.12600262463092804,,,,,,,,
NGC1313 X-2,5.0,3.0,0.40254560112953186,0.08238252997398376,280.0,264.0,0.3796461820602417,0.46044158935546875,93.0,91.0,0.12274608016014099,0.021473348140716553,49.0,49.0,0.21185828745365143,0.029006188735365868,58.0,57.0,0.21126247942447662,0.03422163799405098,,,,,,,,
NGC5204 ULX-1,,,,,35.0,35.0,5.688667297363281,0.12005618959665298,21.0,21.0,1.666250467300415,0.08703003078699112,3.0,3.0,2.559566020965576,0.04242818057537079,6.0,6.0,2.614170789718628,0.06762044131755829,,,,,,,,
UGC6456 ULX,5.0,5.0,1.7521121501922607,0.14134082198143005,6.0,6.0,1.9440776109695435,0.10839289426803589,13.0,13.0,0.795549750328064,0.0748785063624382,6.0,6.0,1.0711060762405396,0.05119576305150986,4.0,4.0,1.280954360961914,0.023227667436003685,1.0,2.0,0.866868793964386,0.0,,,,
NGC4395 ULX-1,138.0,129.0,1.2783700227737427,0.23207759857177734,12.0,12.0,1.126585841178894,0.06280328333377838,42.0,42.0,0.37765955924987793,0.027980254963040352,13.0,13.0,0.6055505871772766,0.036529988050460815,45.0,45.0,0.6582620143890381,0.04534764215350151,1.0,1.0,0.5660318732261658,0.0,,,,
M83 ULX-2,6.0,6.0,13.322372436523438,2.027773380279541,31.0,31.0,5.008107662200928,0.9276130795478821,20.0,20.0,0.31022995710372925,0.062229517847299576,10.0,10.0,1.0554466247558594,0.24727866053581238,8.0,8.0,0.5531982183456421,0.16701628267765045,6.0,6.0,8.998347282409668,1.2645803689956665,,,,
M83 ULX-1,6.0,6.0,9.873969078063965,1.0550535917282104,31.0,31.0,3.8549182415008545,0.6647597551345825,20.0,20.0,0.2298019379377365,0.07324734330177307,10.0,10.0,0.8272177577018738,0.17844243347644806,8.0,8.0,0.41434675455093384,0.1341518610715866,6.0,6.0,6.952147960662842,0.6872279047966003,,,,
NGC5408 ULX-1,,,,,,,,,147.0,147.0,2.0845015048980713,0.15515272319316864,,,,,,,,,,,,,,,,
NGC6946 ULX-1,88.0,87.0,3.347623586654663,0.46498364210128784,1.0,1.0,1.4418904781341553,0.0,13.0,7.0,0.07538624107837677,0.023320915177464485,1.0,1.0,0.3283213973045349,0.0,1.0,0.0,0.19538716971874237,0.0,92.0,91.0,2.3096420764923096,0.24708953499794006,,,,
NGC6946 ULX-3,88.0,83.0,1.2088536024093628,0.35443100333213806,1.0,1.0,0.8483055830001831,0.0,13.0,5.0,0.0522928312420845,0.03784438222646713,1.0,1.0,0.2288018763065338,0.0,1.0,0.0,0.1538216918706894,0.0,92.0,79.0,0.6777556538581848,0.2589343786239624,,,,
M101 ULX-1,57.0,57.0,2.491537570953369,0.2924795150756836,1.0,1.0,1.779392957687378,0.0,23.0,13.0,0.23053137958049774,0.167855367064476,5.0,4.0,0.550912618637085,0.3250751197338104,8.0,6.0,0.5939129590988159,0.18427202105522156,55.0,55.0,1.2277562618255615,0.18404650688171387,,,,
M51 ULX-7,66.0,66.0,13.63492202758789,0.6993468403816223,56.0,56.0,11.474785804748535,0.5181124806404114,58.0,58.0,3.439155101776123,0.2511512339115143,33.0,33.0,5.648432731628418,0.41304731369018555,47.0,47.0,5.0697102546691895,0.45108842849731445,1.0,1.0,6.575680255889893,0.0,,,,
NGC5585 ULX,,,,,,,,,16.0,15.0,0.118035688996315,0.019457371905446053,,,,,,,,,,,,,,,,
NGC4559 ULX-1,7.0,7.0,1.9024102687835693,0.07025735080242157,15.0,15.0,2.214503526687622,0.07466956228017807,12.0,12.0,0.9686334729194641,0.11762770265340805,46.0,46.0,1.3602535724639893,0.07517558336257935,10.0,10.0,1.4850720167160034,0.12412888556718826,7.0,9.0,0.5852639079093933,0.1527409553527832,1.0,1.0,1.645544171333313,0.0
NGC925 ULX-1,,,,,16.0,16.0,1.2033283710479736,0.048342522233724594,29.0,29.0,0.3299008309841156,0.045481037348508835,27.0,27.0,0.5202776789665222,0.04609232023358345,26.0,26.0,0.5080289244651794,0.05447961762547493,,,,,,,,
NGC925 ULX-2,,,,,16.0,16.0,2.1976757049560547,0.10977736115455627,29.0,29.0,0.3680812120437622,0.03306032344698906,27.0,27.0,0.7122809290885925,0.03245672956109047,26.0,26.0,0.5724583268165588,0.04488994553685188,,,,,,,,
NGC7090 ULX-3,2.0,2.0,5.428332328796387,0.08191943168640137,10.0,10.0,2.494372844696045,0.12312441319227219,10.0,10.0,0.29198819398880005,0.020298844203352928,8.0,8.0,0.7096297740936279,0.04824993014335632,4.0,4.0,0.476013720035553,0.02727232500910759,2.0,2.0,3.0929274559020996,0.18921029567718506,,,,
NGC5907 ULX,,,,,147.0,147.0,1.4092894792556763,0.06066979840397835,161.0,160.0,0.08819907903671265,0.01097321417182684,98.0,97.0,0.2750847041606903,0.0846552923321724,104.0,104.0,0.15616358816623688,0.015942232683300972,,,,,,,,
NGC1365 X-2,62.0,62.0,11.547514915466309,0.7290013432502747,9.0,9.0,9.771648406982422,0.6635928750038147,51.0,51.0,2.5278334617614746,0.17162659764289856,4.0,4.0,4.3193159103393555,0.42497771978378296,12.0,12.0,4.215314865112305,0.24326668679714203,60.0,64.0,4.876420497894287,0.4460517466068268,1.0,1.0,57.09693908691406,0.0
NGC1365 X-1,62.0,61.0,2.8090736865997314,0.37118789553642273,9.0,8.0,1.055483102798462,0.1636602133512497,51.0,50.0,0.12943285703659058,0.01714557223021984,4.0,3.0,0.275090754032135,0.05930418148636818,12.0,12.0,0.23861591517925262,0.022408900782465935,60.0,57.0,1.5097639560699463,0.25948813557624817,1.0,1.0,16.919178009033203,0.0
NGC1042 ULX-1,5.0,2.0,1.5134265422821045,2.0511882305145264,8.0,6.0,0.29767709970474243,0.125541090965271,2.0,1.0,0.045135412365198135,0.045135412365198135,4.0,2.0,0.07601627707481384,0.07654105871915817,4.0,3.0,0.10057523846626282,0.058245424181222916,5.0,2.0,0.8231067657470703,1.1110351085662842,,,,
ESO 243-49 HLX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
