name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter
tab,98,98,0,98,2,Holmberg_II_X-1,FULL,U
tab_5_sig,98,98,0,98,2,Holmberg_II_X-1,FULL,U
tab_UL,2,2,0,2,2,Holmberg_II_X-1,FULL,U
tab_no_UL,96,96,0,96,0,Holmberg_II_X-1,FULL,U
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,U
tab_no_BAD,98,98,0,98,2,Holmberg_II_X-1,FULL,U
tab_UL_no_bad,2,2,0,2,2,Holmberg_II_X-1,FULL,U
tab_no_UL_no_bad,96,96,0,96,0,Holmberg_II_X-1,FULL,U
tab,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2
tab_UL,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,FULL,UVM2
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2
tab,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1
tab_5_sig,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1
tab_UL,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,UVW1
tab_no_BAD,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1
tab_UL_no_bad,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1
tab,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2
tab_5_sig,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2
tab_UL,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2
tab_no_UL,45,45,3,42,0,Holmberg_II_X-1,FULL,UVW2
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,FULL,UVW2
tab_no_BAD,43,43,0,43,1,Holmberg_II_X-1,FULL,UVW2
tab_UL_no_bad,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2
tab_no_UL_no_bad,42,42,0,42,0,Holmberg_II_X-1,FULL,UVW2
tab,98,98,0,98,0,Holmberg_II_X-1,HARD,U
tab_5_sig,98,98,0,98,0,Holmberg_II_X-1,HARD,U
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,U
tab_no_UL,98,98,0,98,0,Holmberg_II_X-1,HARD,U
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HARD,U
tab_no_BAD,98,98,0,98,0,Holmberg_II_X-1,HARD,U
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,U
tab_no_UL_no_bad,98,98,0,98,0,Holmberg_II_X-1,HARD,U
tab,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVM2
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,HARD,UVM2
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,HARD,UVM2
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVM2
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,HARD,UVM2
tab,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1
tab_5_sig,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1
tab_no_UL,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1
tab_no_BAD,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1
tab_no_UL_no_bad,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1
tab,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2
tab_5_sig,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW2
tab_no_UL,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,HARD,UVW2
tab_no_BAD,43,43,0,43,0,Holmberg_II_X-1,HARD,UVW2
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW2
tab_no_UL_no_bad,43,43,0,43,0,Holmberg_II_X-1,HARD,UVW2
tab,98,98,0,98,0,Holmberg_II_X-1,HR,U
tab_5_sig,95,95,0,95,0,Holmberg_II_X-1,HR,U
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,U
tab_no_UL,95,95,0,95,0,Holmberg_II_X-1,HR,U
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HR,U
tab_no_BAD,95,95,0,95,0,Holmberg_II_X-1,HR,U
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,U
tab_no_UL_no_bad,95,95,0,95,0,Holmberg_II_X-1,HR,U
tab,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2
