name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter,include_bad,include_UL
tab,98,98,0,98,2,Holmberg_II_X-1,FULL,U,False,False
tab_5_sig,98,98,0,98,2,Holmberg_II_X-1,FULL,U,False,False
tab_UL,2,2,0,2,2,Holmberg_II_X-1,FULL,U,False,False
tab_no_UL,96,96,0,96,0,Holmberg_II_X-1,FULL,U,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,U,False,False
tab_no_BAD,98,98,0,98,2,Holmberg_II_X-1,FULL,U,False,False
tab_UL_no_bad,2,2,0,2,2,Holmberg_II_X-1,FULL,U,False,False
tab_no_UL_no_bad,96,96,0,96,0,Holmberg_II_X-1,FULL,U,False,False
tab,98,98,0,98,2,Holmberg_II_X-1,FULL,U,False,True
tab_5_sig,98,98,0,98,2,Holmberg_II_X-1,FULL,U,False,True
tab_UL,2,2,0,2,2,Holmberg_II_X-1,FULL,U,False,True
tab_no_UL,96,96,0,96,0,Holmberg_II_X-1,FULL,U,False,True
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,U,False,True
tab_no_BAD,98,98,0,98,2,Holmberg_II_X-1,FULL,U,False,True
tab_UL_no_bad,2,2,0,2,2,Holmberg_II_X-1,FULL,U,False,True
tab_no_UL_no_bad,96,96,0,96,0,Holmberg_II_X-1,FULL,U,False,True
tab,98,98,0,98,2,Holmberg_II_X-1,FULL,U,True,False
tab_5_sig,98,98,0,98,2,Holmberg_II_X-1,FULL,U,True,False
tab_UL,2,2,0,2,2,Holmberg_II_X-1,FULL,U,True,False
tab_no_UL,96,96,0,96,0,Holmberg_II_X-1,FULL,U,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,U,True,False
tab_no_BAD,98,98,0,98,2,Holmberg_II_X-1,FULL,U,True,False
tab_UL_no_bad,2,2,0,2,2,Holmberg_II_X-1,FULL,U,True,False
tab_no_UL_no_bad,96,96,0,96,0,Holmberg_II_X-1,FULL,U,True,False
tab,98,98,0,98,2,Holmberg_II_X-1,FULL,U,True,True
tab_5_sig,98,98,0,98,2,Holmberg_II_X-1,FULL,U,True,True
tab_UL,2,2,0,2,2,Holmberg_II_X-1,FULL,U,True,True
tab_no_UL,96,96,0,96,0,Holmberg_II_X-1,FULL,U,True,True
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,U,True,True
tab_no_BAD,98,98,0,98,2,Holmberg_II_X-1,FULL,U,True,True
tab_UL_no_bad,2,2,0,2,2,Holmberg_II_X-1,FULL,U,True,True
tab_no_UL_no_bad,96,96,0,96,0,Holmberg_II_X-1,FULL,U,True,True
tab,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2,False,False
tab,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_UL,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2,False,True
tab,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,FULL,UVM2,True,False
tab,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,True,True
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,FULL,UVM2,True,True
tab_UL,0,0,0,0,0,Holmberg_II_X-1,FULL,UVM2,True,True
