source_name,source_ra,source_dec,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
2CXO J095532.9+690033 ,148.88733120397774,69.00933896191995,825,815,821,994327.7239999999,1000763.8449999999
2CXO J095533.1+690354 ,148.888158925,69.0652700066,823,813,819,991891.412,998278.7289999999
2CXO J095310.1+690002 ,148.29224932600687,69.00059433239761,636,628,634,668174.52,673345.9099999999
2CXO J010937.7-455350 ,17.407277817400313,-45.89723649771103,633,630,633,1198769.653,1199308.878
2CXO J011007.5-455553 ,17.531334447966003,-45.931666630851474,630,627,630,1196647.207,1197160.643
2CXO J011020.8-455118 ,17.586756302317667,-45.85506151763603,630,627,630,1196647.207,1197160.643
2CXO J010955.5-455551 ,17.48126142162039,-45.93098572872612,630,627,630,1196647.207,1197160.643
2CXO J010953.8-455627 ,17.47427343746051,-45.94099753890153,630,627,630,1196647.207,1197160.643
2CXO J010952.2-455526 ,17.46766589832538,-45.923987538087886,630,627,630,1196647.207,1197160.643
2CXO J010946.4-454656 ,17.443392747546,-45.7822734196689,630,627,630,1196647.207,1197160.643
2CXO J151558.6+561810 ,228.9942569787188,56.3029121848044,549,543,548,965456.173,969445.692
2CXO J031819.9-662910 ,49.58322009304925,-66.48637786877732,518,507,516,612163.8160000001,615632.658
2CXO J031738.6-663303 ,49.41120284389535,-66.55099217374018,518,507,516,612163.8160000001,615632.658
2CXO J140319.6-412258 ,210.83174726946572,-41.38297478447225,504,150,502,143469.58000000002,708356.5920000001
2CXO J121032.5+392420 ,182.63570810667977,39.40577111813041,494,490,494,482414.146,566617.8509999999
2CXO J003915.8-511701 ,9.81587938717604,-51.283703402299544,470,455,470,820714.0660000001,903714.174
2CXO J230307.9+084233 ,345.7832920869628,8.709358784430323,453,451,451,433716.62600000005,439502.642
2CXO J230246.6+084818 ,345.69451052397426,8.805114309536794,453,451,451,433716.62600000005,439502.642
2CXO J230250.9+084122 ,345.7122093851119,8.68966314574815,453,451,451,433716.62600000005,439502.642
2CXO J230252.0+084135 ,345.7170208829948,8.69325199002005,453,451,451,433716.62600000005,439502.642
2CXO J133632.7-335811 ,204.1365675411489,-33.96983219636131,443,436,443,432850.171,448047.995
2CXO J133640.0-335824 ,204.1669532707432,-33.973340104477025,440,433,440,429458.652,444650.6
2CXO J095550.1+694046 ,148.9589514830144,69.67949463619874,439,438,439,877083.684,891739.022
2CXO J095551.2+694043 ,148.96364702419714,69.67885416874748,439,438,439,877083.684,891739.022
2CXO J133639.0-335756 ,204.16266202079714,-33.96582134560612,435,428,435,424296.592,439480.673
2CXO J133639.4-335713 ,204.16428327075073,-33.95367098572392,397,390,397,386427.279,401427.98600000003
2CXO J133644.1-335707 ,204.18379662366146,-33.95219757087667,354,348,354,342393.11,357585.51900000003
2CXO J235727.4-324300 ,359.3642416601276,-32.71690127900288,350,348,350,572719.981,574900.39
2CXO J132950.6+471155 ,202.46120605191766,47.19867155431564,312,298,312,576087.852,587684.781
2CXO J132953.7+471435 ,202.47384183672943,47.24328343956092,312,298,312,576087.852,587684.781
2CXO J133007.5+471106 ,202.53150015257074,47.18505658713685,312,298,312,576087.852,587684.781
2CXO J133001.0+471343 ,202.50421685888932,47.228885935543275,312,298,312,576087.852,587684.781
2CXO J132959.0+471318 ,202.49612767391795,47.221807845238,312,298,312,576087.852,587684.781
