Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
NGC3031                ,148.88815649999998,69.0652757,823,813,819,991891.412,998278.7289999999
NGC0224                ,10.6846845,41.2689778,725,720,723,1939108.2480000001,1972257.275
IC1633                 ,17.4815685,-45.9312151,630,627,630,1196647.207,1197160.643
PGC073717              ,17.583042,-45.8551111,630,627,630,1196647.207,1197160.643
PGC073710              ,17.527584,-45.9317778,630,627,630,1196647.207,1197160.643
ESO243-051             ,17.830311000000002,-45.9321527,626,623,626,1191215.845,1191714.722
PGC073734              ,17.696958000000002,-45.7565556,625,622,625,1190259.534,1190756.938
NGC5907                ,228.9731505,56.3291505,549,543,548,965456.173,969445.692
NGC1313A               ,50.023899,-66.7011379,518,507,516,612163.8160000001,615632.658
NGC1313                ,49.5655215,-66.4978677,518,507,516,612163.8160000001,615632.658
NGC5408                ,210.838041,-41.3770864,504,150,502,143469.58000000002,708356.5920000001
PGC1351875             ,345.716958,8.6932222,453,451,451,433716.62600000005,439502.642
NGC3034                ,148.969708333333,69.6793888888889,440,439,440,877600.257,892307.0320000001
ESO383-025             ,203.6943015,-34.3119106,438,428,438,433676.505,449329.235
IC4296                 ,204.1629195,-33.9658215,435,428,435,424296.592,439480.673
NGC7793                ,359.457591,-32.5910738,350,348,350,572719.981,574900.39
NGC5195                ,202.497309,47.2660603,312,298,312,576087.852,587684.781
NGC5194                ,202.469625,47.1951666666667,312,298,312,576087.852,587684.781
NGC4395                ,186.4535833333333,33.54691666666667,260,256,260,336022.507,352127.89
NGC1566                ,65.001642,-54.9378097,248,245,247,282107.723,306703.69
NGC5457                ,210.802368,54.349023,248,244,247,448378.351,502464.48199999996
UGC04305               ,124.77075,70.72002777777777,233,231,233,289898.367,290880.01
NGC0247                ,11.7857175,-20.7604499,185,183,185,290752.801,292551.569
ESO097-013             ,213.2912535,-65.3391521,180,154,177,231091.168,232613.87699999998
NGC0300                ,13.7230245,-37.6844766,164,162,164,573871.8,581188.0190000001
NGC1365                ,53.4016665,-36.1405075,145,143,144,310850.351,323995.763
NGC5128                ,201.367185,-43.0181183,137,134,137,187712.082,199419.29899999997
ESO467-051             ,335.8217385,-28.9808773,137,134,137,294191.62,308025.015
PGC053808              ,226.153863,10.3989111,132,132,132,208324.872,212752.161
NGC4653                ,190.96221450000002,-0.5612163,130,126,130,298012.437,309632.89
NGC2992                ,146.425173,-14.3263754,126,125,126,230728.59,232628.52599999998
NGC2993                ,146.4513015,-14.3683584,126,125,126,230728.59,232628.52599999998
NGC4945                ,196.36450000000002,-49.468222222222224,125,96,124,119491.90699999999,154745.54200000002
IC3212                 ,185.514114,28.1860084,124,124,124,180908.17000000007,186754.75399999996
UGC01841               ,35.7991335,42.991546,123,122,123,210618.152,215810.022
NGC5643                ,218.169585,-44.1744753,121,118,121,196851.40099999998,211421.96099999998
NGC1278                ,49.975728,41.5631945,115,115,115,202486.93600000002,211676.509
PGC012378              ,49.8239055,41.6442723,114,114,114,207211.751,216296.487
NGC1275                ,49.9510875,41.5115451,114,114,114,201657.16199999998,210839.07499999998
NGC6946                ,308.718,60.1539166666667,109,107,109,136731.439,142930.429
NGC2770                ,137.39034,33.1234992,105,104,104,475745.653,479738.641
NGC4939                ,196.059813,-10.3395694,103,99,101,150786.9,161426.398
NGC3227                ,155.8775385,19.8649777,102,101,102,145118.92099999997,147328.51699999996
NGC4303                ,185.47841400000001,4.4737765,99,99,98,215623.064,221174.39700000003
NGC4038                ,180.470898,-18.8682165,99,98,99,203817.16700000002,207251.897
NGC4039                ,180.4734345,-18.886422,99,98,99,203817.16700000002,207251.897
NGC5236                ,204.25395833333332,-29.86541666666667,99,96,97,171330.878,171003.88700000005
NGC0925                ,36.8203333333333,33.5791666666667,99,98,99,204943.4,205036.765
NGC4486                ,187.706364,12.3905194,98,96,98,113409.67300000001,115513.052
IC4587                 ,239.9650875,25.9406696,97,91,97,184718.039,210758.653
NGC6643                ,274.943166,74.5683889,97,97,97,380262.14800000004,385742.859
NGC4559                ,188.9903415,27.9596837,94,94,94,142001.19799999997,143125.54500000004
NGC4314                ,185.63331,29.8954364,93,91,93,98224.096,100193.172
