source_name,n_obs
M82_X-2,49
NAME_Holmberg_IX_X-1,24
NAME_NGC_5907_ULX,14
NAME_NGC_1313_X-1,13
NAME_NGC_1313_X-2,13
NOVA_Cyg_1989,12
NAME_NGC_7793_P13,12
[SK2009]_X2,11
M31_ULX-1,11
NAME_NGC_1365-X1,11
SS433,10
[LB2005]_NGC_6946_ULX1,8
SWIFT_J0243.6+6124,8
SMC_X-3,8
[LB2005]_NGC_3031_X6,8
[LM2005]_NGC_3031_ULX1,7
Holmberg_II_X-1,6
NAME_M83_ULX-1,6
[LB2005]_NGC_5236_ULX1,6
RX_J133001+47137,4
[WMR2006]_NGC4945_XMM1,4
[SRW2006b]_NGC_55_ULX,4
NAME_NGC_300_ULX1,3
NAME_NGC_925_ULX-2,3
NAME_NGC_925_ULX-1,3
[LM2005]_NGC_5204_ULX1,2
[LM2005]_NGC_598_ULX1,2
3XMM_J213631.9-543357,2
[LM2005]_NGC_1042_ULX1,1
[LM2005]_NGC_4395_ULX1,1
NAME_IC_10_X-1,1
ESO_243-49_HLX-1,1
