NAME,RA,DEC,TIME,OBSID,STATUS,EXPOSURE_A,OBSERVATION_MODE,OBS_TYPE,PROCESSING_DATE,PUBLIC_DATE,ISSUE_FLAG,SEARCH_OFFSET_,SEARCH_NAME
HLX_1,17.6405,-46.0900,56250.5529,30001030002,ARCHIVED,131752,SCIENCE,ULX,59170.1043,56621,1,1.393 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
M81_X9,149.5251,69.0561,56226.8619,30002033003,ARCHIVED,88050,SCIENCE,ULX,59170.6085,56694,0,1.219 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGIX_X1,149.4594,69.0778,56976.5945,30002034004,ARCHIVED,60815,SCIENCE,S09,59139.3149,57359,0,0.906 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGIX_X1,149.3835,69.0447,56779.9174,30002034002,ARCHIVED,57574,SCIENCE,S09,59150.2181,57218,0,2.205 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.5669,69.0843,59158.9140,80602308006,ARCHIVED,57485,SCIENCE,N06,59160.0547,59370,0,2.389 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGIX_X1,149.3901,69.0381,57158.1292,30002034008,ARCHIVED,56700,SCIENCE,S09,59133.3337,57536,0,2.322 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.5835,69.0748,59139.3966,80602308002,ARCHIVED,54412,SCIENCE,N06,59142.7395,59370,0,2.485 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.5459,69.0794,59151.3341,80602308004,ARCHIVED,53358,SCIENCE,N06,59153.1551,59370,0,1.852 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.6003,69.0992,59176.9001,80602308010,ARCHIVED,51143,SCIENCE,N06,59178.2571,59370,0,3.488 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGIX_X1,149.4038,69.0677,57118.8202,30002034006,ARCHIVED,49604,SCIENCE,S09,59135.3968,57513,0,1.486 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.5506,69.0883,59171.3272,80602308008,ARCHIVED,48999,SCIENCE,N06,59210.1636,59370,0,2.251 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.5060,69.0666,56246.7438,30002033010,ARCHIVED,48947,SCIENCE,ULX,59170.1673,56694,0,0.753 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.5509,69.0710,56242.0286,30002033005,ARCHIVED,40724,SCIENCE,ULX,59170.2713,56694,1,1.751 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.4688,69.0646,56242.7022,30002033006,ARCHIVED,35225,SCIENCE,ULX,59170.2619,56694,0,0.101 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.4906,69.0590,56226.2577,30002033002,ARCHIVED,31181,SCIENCE,ULX,59170.6236,56694,0,0.477 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.5119,69.0671,56245.0633,30002033008,ARCHIVED,14524,SCIENCE,ULX,59170.2098,56694,1,0.883 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.5352,69.0650,56245.0459,30002033007,ARCHIVED,459,SCIENCE,ULX,59170.2169,56694,0,1.358 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.6408,69.0949,56241.9904,30002033004,ARCHIVED,420,SCIENCE,ULX,59170.2807,56694,0,4.080 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
M81_X9,149.4728,69.0536,56246.7299,30002033009,ARCHIVED,400,SCIENCE,ULX,59170.1783,56694,0,0.588 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGIX_X1,149.4931,69.0782,56976.5737,30002034003,ARCHIVED,254,SCIENCE,S09,59139.3270,57359,0,0.997 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGIX_X1,149.3695,69.0412,56779.9036,30002034001,ARCHIVED,154,SCIENCE,S09,59150.2310,57218,0,2.571 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.6115,69.1074,59176.8654,80602308009,ARCHIVED,145,SCIENCE,N06,59177.0999,59370,0,3.987 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.5857,69.0925,59171.2994,80602308007,ARCHIVED,29,SCIENCE,N06,59172.3030,59370,0,2.997 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.5696,69.0892,59158.9001,80602308005,ARCHIVED,0,SLEW,N06,59159.1893,59370,0,2.602 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERG_IX_X1,149.6236,69.0726,59139.3723,80602308001,ARCHIVED,0,SLEW,N06,59141.4258,59370,0,3.295 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
HOLMBERGII_X1,124.9655,70.7048,56552.1987,30001031005,ARCHIVED,111096,SCIENCE,ULX,59158.7777,57112,0,1.878 (HOLMBERG II X-1),Holmberg_II_X-1
HOLMBERG_II_X1,124.9348,70.6541,59415.9765,90701322001,ARCHIVED,92793,SCIENCE,TOO,59418.1540,59428,0,3.329 (HOLMBERG II X-1),Holmberg_II_X-1
HOLMBERGII_X1,124.9776,70.6930,56544.7299,30001031003,ARCHIVED,79433,SCIENCE,ULX,59158.8907,57112,0,2.245 (HOLMBERG II X-1),Holmberg_II_X-1
HOLMBERGII_X1,124.8517,70.6840,56544.2369,30001031002,ARCHIVED,31372,SCIENCE,ULX,59158.9035,57112,0,1.338 (HOLMBERG II X-1),Holmberg_II_X-1
