,dir,source_name,n_obs,filesize,filesize_gb
0,download_scripts/ESO243-49/,ESO243-49,617,23515867439,23.515867439
1,download_scripts/Ho-IX/,Ho-IX,826,29893398879,29.893398879000003
2,download_scripts/Ho_II/,Ho_II,233,6207083354,6.207083354000001
3,download_scripts/IC10/,IC10,130,3749590488,3.7495904880000004
4,download_scripts/M31_ULX-1/,M31_ULX-1,728,40269996233,40.269996233
5,download_scripts/M33/,M33,51,4950505009,4.9505050090000005
6,download_scripts/M51/,M51,297,17477824184,17.477824184000003
7,download_scripts/M81/,M81,830,30026767587,30.026767587000002
8,download_scripts/M82/,M82,446,18350098519,18.350098519
9,download_scripts/M83/,M83,97,4689289779,4.689289779
10,download_scripts/NGC1042/,NGC1042,41,3985018576,3.9850185760000003
11,download_scripts/NGC1313/,NGC1313,516,13151555098,13.151555098000001
12,download_scripts/NGC1365/,NGC1365,145,12395105553,12.395105553
13,download_scripts/NGC247/,NGC247,171,5195919721,5.195919721
14,download_scripts/NGC253/,NGC253,39,1361500141,1.361500141
15,download_scripts/NGC300/,NGC300,160,11897885760,11.897885760000001
16,download_scripts/NGC4395/,NGC4395,258,49556070287,49.556070287000004
17,download_scripts/NGC4945/,NGC4945,129,3419975845,3.419975845
18,download_scripts/NGC5204/,NGC5204,66,2914471749,2.914471749
19,download_scripts/NGC5408/,NGC5408,502,15202729237,15.202729237000002
20,download_scripts/NGC55/,NGC55,160,4165430151,4.165430151000001
21,download_scripts/NGC5585/,NGC5585,19,654138196,0.654138196
22,download_scripts/NGC5907/,NGC5907,518,15694720710,15.69472071
23,download_scripts/NGC6643/,NGC6643,97,12234333682,12.234333682
24,download_scripts/NGC6946/,NGC6946,109,7073750601,7.073750601
25,download_scripts/NGC7090/,NGC7090,34,1815619262,1.815619262
26,download_scripts/NGC7793/,NGC7793,333,9574172621,9.574172621
27,download_scripts/NGC925/,NGC925,34,1045132401,1.045132401
28,download_scripts/SMC_X-3/,SMC_X-3,1625,40793243084,40.793243084000004
29,download_scripts/SS433/,SS433,43,2253942863,2.2539428630000002
30,download_scripts/Swift_J0243.6+6124/,Swift_J0243.6+6124,184,12257837357,12.257837357000001
31,download_scripts/UGC6456/,UGC6456,34,1045132442,1.045132442
