MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,SCRIPT_NUMBER_ID
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,285
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,286
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,287
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,288
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,289
2XMM J013636.4+155036,01 36 36.50,+15 50 36.3,6,6,800.000,800.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,478
CXOU J013651.1+154547,01 36 51.06,+15 45 46.8,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,488
CXOU J013651.1+154547,01 36 51.06,+15 45 46.8,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,489
3XMM J022233.4+422026,02 22 33.45,+42 20 26.8,6,6,,,0,C,X,2012ApJ...747L..39H,,,,,,,,506
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,611
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,612
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,613
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,614
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,615
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,616
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,617
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,618
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,619
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,620
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,621
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,622
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,623
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,624
2XMM J031820.8-663035,03 18 20.8,-66 30 35,5,5,,,0,D,,2014ApJ...780...39L,,,,,,,,650
2XMM J031820.8-663035,03 18 20.8,-66 30 35,5,5,,,0,D,,2014ApJ...780...39L,,,,,,,,651
3XMM J032004.9-664211,03 20 04.9560,-66 42 11.916,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,662
3XMM J032004.9-664211,03 20 04.9560,-66 42 11.916,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,663
3XMM J032004.9-664211,03 20 04.9560,-66 42 11.916,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,664
3XMM J033337.9-360935,03 33 38.02,-36 09 35.2,6,6,,,0,D,,2009ApJ...692..443S,,,,,,,,743
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,819
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,820
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,821
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,822
CXOU J072719.7+854632,07 27 19.70,+85 46 32.9,6,6,,,0,D,,2015MNRAS.448..781W,,,,,,,,964
3XMM J072722.2+854513,07 27 22.2528,+85 45 13.068,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,965
UCAC4 779-021043,07 36 34.1461,+65 38 54.771,14,14,0.020,0.027,90,A,O,2020yCat.1350....0G,412.0820,,pc,-6.4698,6.4698,paral,2020yCat.1350....0G,993
UCAC4 779-021043,07 36 34.1461,+65 38 54.771,14,14,0.020,0.027,90,A,O,2020yCat.1350....0G,412.0820,,pc,-6.4698,6.4698,paral,2020yCat.1350....0G,994
