OBSID,STATUS,NAME,RA,DEC,TIME,DURATION,PI_LNAME,PI_FNAME,PUBLIC_DATE,DATA_IN_HEASARC,SEARCH_OFFSET_,SEARCH_NAME
0693060401,ARCHIVED,ESO 243-49 HLX-1,17.61792,-46.07286,56254.0968518518,53917,FARRELL,SEAN,56636,Y,0.000 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0801310101,ARCHIVED,ESO 243-49,17.61791,-46.07286,57890.9599305556,130600,GODET,OLIVIER,58281,Y,0.001 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0693060301,ARCHIVED,ESO 243-49 HLX-1,17.61791,-46.07286,56476.9888078704,140800,FARRELL,SEAN,56899,Y,0.001 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0655510201,ARCHIVED,ESO 243-49 HLX-1,17.61788,-46.07286,55330.3576736111,106321,FARRELL,SEAN,55720,Y,0.002 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0560180901,ARCHIVED,2XMMJ011028.1-460421,17.61745,-46.07267,54798.3270023148,50914,SCHARTEL (PS),NORBERT,55003,Y,0.022 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0844030101,ARCHIVED,2MASX J01110461-4558,17.76983,-45.97869,59215.5692708333,24000,LIN,DACHENG,59599,Y,8.484 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0891802101,PROCESSED,2MASX J01110461-4558,17.76983,-45.96786,59534.6885763889,18000,SCHARTEL (PS),NORBERT,59722,N,8.930 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0204540201,ARCHIVED,IC 1633,17.48126,-45.93083,53332.5191435185,22119,FORMAN,WILLIAM,53718,Y,10.250 (ESO 243-49 HLX-1),ESO_243-49_HLX-1
0870930901,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59171.3047685185,5020,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930601,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59139.394537037,8000,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930501,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59171.3628703704,27000,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930401,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59159.3942708333,27000,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930301,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59151.4174537037,27000,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930101,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59139.4871296296,24000,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0843840101,ARCHIVED,HOLMBERG IX,149.47203,69.06339,58925.9924652778,27000,ISRAEL,GIANLUCA,59317,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930801,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59159.338587963,4811,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870931001,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59177.3507523148,26400,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0870930701,ARCHIVED,HOLMBERG IX X-1,149.47203,69.06339,59151.3599421296,4969,WALTON,DOMINIC,59565,Y,0.000 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0693850801,ARCHIVED,HOLMBERG IX X-1,149.47167,69.06342,56223.1785069444,14115,HARRISON,FIONA,56629,Y,0.008 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0693851101,ARCHIVED,HOLMBERG IX X-1,149.47167,69.06342,56247.1198842593,13316,HARRISON,FIONA,56629,Y,0.008 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0693851701,ARCHIVED,HOLMBERG IX X-1,149.47167,69.06342,56243.1277893518,9918,HARRISON,FIONA,56629,Y,0.008 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0693850901,ARCHIVED,HOLMBERG IX X-1,149.47167,69.06342,56225.172962963,14014,HARRISON,FIONA,56629,Y,0.008 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0693851801,ARCHIVED,HOLMBERG IX X-1,149.47167,69.06342,56245.1216087963,13817,HARRISON,FIONA,56629,Y,0.008 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0693851001,ARCHIVED,HOLMBERG IX X-1,149.47167,69.06342,56227.1699305556,13916,HARRISON,FIONA,56629,Y,0.008 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0200980101,ARCHIVED,HOLMBERG IX,149.47167,69.06384,53274.2887962963,119166,STROHMAYER,TOD,53664,Y,0.028 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0112521101,ARCHIVED,HOLMBERG IX,149.47084,69.06111,52380.703912037,11518,WATSON,MICHAEL,52791,Y,0.139 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
0112521001,ARCHIVED,HOLMBERG IX,149.47084,69.06111,52374.7071064815,10705,WATSON,MICHAEL,52791,Y,0.139 (NAME HOLMBERG IX X-1),NAME_Holmberg_IX_X-1
