source_name,n_obs
M31_ULX-1,54
NAME_NGC_1313_X-2,35
NAME_NGC_1313_X-1,35
NAME_NGC_5907_ULX,34
NAME_Holmberg_IX_X-1,32
[LM2005]_NGC_3031_ULX1,29
[LB2005]_NGC_3031_X6,29
[LM2005]_NGC_598_ULX1,27
Holmberg_II_X-1,20
RX_J133001+47137,19
[LB2005]_NGC_6946_ULX1,19
NAME_NGC_7793_P13,19
[SK2009]_X2,19
[LM2005]_NGC_5408_ULX1,19
NAME_NGC_1365-X1,19
M82_X-2,17
[LM2005]_NGC_247_ULX1,11
[LM2005]_NGC_4395_ULX1,11
[SRW2006b]_NGC_55_ULX,11
NAME_M83_ULX-1,10
[LB2005]_NGC_5236_ULX1,10
[LM2005]_NGC_5204_ULX1,10
SS433,9
[LB2005]_NGC_253_X20,9
ESO_243-49_HLX-1,8
[LM2005]_NGC_1042_ULX1,8
SMC_X-3,7
NAME_NGC_300_ULX1,7
3XMM_J213631.9-543357,4
NAME_NGC_925_ULX-2,2
SWIFT_J0243.6+6124,2
NOVA_Cyg_1989,2
NAME_NGC_925_ULX-1,2
[SST2011]_J141939.39+564137.8,2
NAME_IC_10_X-1,2
[WMR2006]_NGC4945_XMM1,2
[LM2005]_NGC_4559_ULX1,2
NAME_UGC_6456_ULX,1
