ra,dec,simbad_name,obsid
324.1225227018,-54.5630316821,3XMM_J213631.9-543357,00032287010
324.1230607062,-54.5627884782,3XMM_J213631.9-543357,00032287011
324.1238719735,-54.5642788688,3XMM_J213631.9-543357,00032287011
324.1261984153,-54.5648880526,3XMM_J213631.9-543357,00032287011
324.1231468938,-54.5640439467,3XMM_J213631.9-543357,00095334009
324.1379006241,-54.5672326282,3XMM_J213631.9-543357,00031287001
17.6186874506,-46.0727699204,ESO_243-49_HLX-1,00031287001
17.617299154,-46.072332154,ESO_243-49_HLX-1,00031287002
17.6171278892,-46.0722545865,ESO_243-49_HLX-1,00031287002
17.6171132032,-46.0718605163,ESO_243-49_HLX-1,00031287002
17.6177333106,-46.0725672206,ESO_243-49_HLX-1,00031287003
17.617976909,-46.0723560158,ESO_243-49_HLX-1,00031287003
17.617867243,-46.0708168448,ESO_243-49_HLX-1,00031287003
17.6160945983,-46.0728661472,ESO_243-49_HLX-1,00031287003
17.618697335,-46.0725019062,ESO_243-49_HLX-1,00031287003
17.618075582,-46.0718284139,ESO_243-49_HLX-1,00031287004
17.6189307854,-46.072094864,ESO_243-49_HLX-1,00031287004
17.6179348244,-46.071892322,ESO_243-49_HLX-1,00031287004
17.6171948298,-46.0723682779,ESO_243-49_HLX-1,00031287004
17.6179628538,-46.0726966918,ESO_243-49_HLX-1,00031287004
17.6182013352,-46.0713178754,ESO_243-49_HLX-1,00031287007
17.6166092285,-46.0732127453,ESO_243-49_HLX-1,00031287007
17.6172629737,-46.07237568,ESO_243-49_HLX-1,00031287007
17.6172687987,-46.0719042464,ESO_243-49_HLX-1,00031287007
17.616834707,-46.072617723,ESO_243-49_HLX-1,00031287007
17.6183084978,-46.0745763173,ESO_243-49_HLX-1,00031287007
17.616911041,-46.0733041482,ESO_243-49_HLX-1,00031287007
17.6159979515,-46.0732408024,ESO_243-49_HLX-1,00031287007
17.6180080862,-46.0725240148,ESO_243-49_HLX-1,00031287007
17.6156623818,-46.0732939039,ESO_243-49_HLX-1,00031287008
17.6158764638,-46.0709171489,ESO_243-49_HLX-1,00031287008
17.6184063642,-46.0720310635,ESO_243-49_HLX-1,00031287008
17.6173596285,-46.0729656907,ESO_243-49_HLX-1,00031287008
